         T[MeV]          pi_BW           K_BW         K0S_BW         phi_BW           p_BW      Lambda_BW        Ksi-_BW       Omega_BW         pi_eBW          K_eBW        K0S_eBW        phi_eBW          p_eBW     Lambda_eBW       Ksi-_eBW      Omega_eBW
      20.000000       1.000000       1.000000       1.000000       1.000000       1.000110       1.000015       1.000000       1.000000       1.000004       1.000002       1.000002       1.000000       1.000015       1.000009       1.000000       1.000000
      21.000000       1.000000       1.000000       1.000000       1.000000       1.000163       1.000025       1.000000       1.000000       1.000006       1.000002       1.000003       1.000000       1.000024       1.000013       1.000000       1.000000
      22.000000       1.000000       1.000000       1.000000       1.000000       1.000233       1.000038       1.000000       1.000000       1.000009       1.000004       1.000004       1.000000       1.000035       1.000017       1.000000       1.000000
      23.000000       1.000000       1.000000       1.000001       1.000000       1.000324       1.000057       1.000000       1.000000       1.000014       1.000006       1.000006       1.000000       1.000050       1.000023       1.000000       1.000000
      24.000000       1.000000       1.000001       1.000001       1.000000       1.000438       1.000082       1.000000       1.000000       1.000019       1.000008       1.000008       1.000000       1.000070       1.000029       1.000001       1.000000
      25.000000       1.000000       1.000001       1.000002       1.000000       1.000579       1.000115       1.000000       1.000000       1.000027       1.000011       1.000012       1.000000       1.000094       1.000034       1.000001       1.000000
      26.000000       1.000001       1.000002       1.000003       1.000000       1.000750       1.000155       1.000000       1.000000       1.000037       1.000016       1.000017       1.000000       1.000123       1.000038       1.000001       1.000000
      27.000000       1.000001       1.000003       1.000004       1.000000       1.000953       1.000205       1.000000       1.000000       1.000049       1.000021       1.000022       1.000000       1.000157       1.000040       1.000001       1.000000
      28.000000       1.000002       1.000005       1.000006       1.000000       1.001190       1.000265       1.000001       1.000000       1.000064       1.000028       1.000030       1.000000       1.000195       1.000038       1.000002       1.000000
      29.000000       1.000003       1.000007       1.000009       1.000000       1.001464       1.000335       1.000001       1.000000       1.000083       1.000037       1.000039       1.000000       1.000238       1.000030       1.000002       1.000000
      30.000000       1.000005       1.000011       1.000013       1.000000       1.001777       1.000417       1.000001       1.000000       1.000106       1.000047       1.000050       1.000000       1.000284       1.000015       1.000003       1.000000
      31.000000       1.000008       1.000015       1.000018       1.000000       1.002129       1.000510       1.000002       1.000000       1.000133       1.000060       1.000063       1.000000       1.000332       0.999990       1.000004       1.000000
      32.000000       1.000011       1.000020       1.000024       1.000000       1.002521       1.000615       1.000002       1.000000       1.000166       1.000075       1.000079       1.000000       1.000381       0.999954       1.000004       1.000000
      33.000000       1.000016       1.000027       1.000032       1.000000       1.002953       1.000731       1.000003       1.000000       1.000205       1.000092       1.000097       1.000000       1.000430       0.999904       1.000005       1.000000
      34.000000       1.000023       1.000036       1.000042       1.000000       1.003426       1.000859       1.000004       1.000000       1.000250       1.000112       1.000118       1.000000       1.000477       0.999838       1.000005       1.000000
      35.000000       1.000031       1.000046       1.000054       1.000000       1.003939       1.000998       1.000005       1.000000       1.000302       1.000136       1.000143       1.000000       1.000518       0.999753       1.000006       1.000000
      36.000000       1.000042       1.000059       1.000068       1.000000       1.004491       1.001148       1.000006       1.000000       1.000362       1.000162       1.000170       1.000000       1.000554       0.999648       1.000006       1.000000
